n_models,subset,test_mse,test_r2,test_cor
1,CMCC-ESM2,1.4472799962759018,-1.4066970348358154,0.30660348836091394
1,CanESM5,0.9495547384023666,-0.5790245532989502,0.44899745322254747
1,NorESM2-LM,0.31624541580677035,0.4741121530532837,0.7737383503026046
1,NorESM2-MM,0.4203110304474831,0.30106037855148315,0.7075388625512604
1,GISS-E2-1-G,1.2243758487701415,-1.036027431488037,0.37434110731116593
4,"CanESM5,HadGEM3-GC31-LL,ACCESS-CM2,INM-CM4-8",0.36658292680978777,0.39040541648864746,0.8064958589167242
4,"GFDL-ESM4,MIROC6,NorESM2-LM,UKESM1-1-LL",0.35539000026881695,0.40901821851730347,0.8249643062922535
4,"UKESM1-1-LL,NorESM2-MM,ACCESS-ESM1-5,NorESM2-LM",0.3589903983473778,0.4030311107635498,0.7898729285125407
4,"NorESM2-LM,FGOALS-g3,CMCC-ESM2,INM-CM4-8",0.5218192926049232,0.1322612762451172,0.7457350119063263
4,"ACCESS-ESM1-5,CMCC-ESM2,CanESM5,GFDL-CM4",0.762216284275055,-0.2674974203109741,0.7167679404964189
8,"IPSL-CM6A-LR,CanESM5-CanOE,UKESM1-1-LL,HadGEM3-GC31-MM,FGOALS-g3,MIROC6,GISS-E2-1-G,NorESM2-MM",1.0217553395032883,-0.6990876197814941,0.004503294956729567
8,"MRI-ESM2-0,HadGEM3-GC31-MM,ACCESS-ESM1-5,HadGEM3-GC31-LL,CanESM5-CanOE,NorESM2-LM,CMCC-ESM2,MPI-ESM1-2-HR",0.3662236198782921,0.39100295305252075,0.7717851750150977
8,"INM-CM4-8,CMCC-ESM2,CanESM5-CanOE,FGOALS-g3,CanESM5,GFDL-CM4,UKESM1-1-LL,NorESM2-LM",0.48775764137506483,0.18890279531478882,0.7450910902469438
8,"FGOALS-g3,GFDL-CM4,CanESM5,HadGEM3-GC31-MM,ACCESS-ESM1-5,GISS-E2-1-G,IPSL-CM6A-LR,MRI-ESM2-0",0.9324427238106727,-0.5505688190460205,0.07918799632693754
8,"ACCESS-ESM1-5,GFDL-ESM4,GFDL-CM4,FGOALS-g3,IPSL-CM6A-LR,NorESM2-LM,ACCESS-CM2,UKESM1-1-LL",0.4753942579030991,0.20946192741394043,0.7430404690444391
15,"ACCESS-CM2,MRI-ESM2-0,MPI-ESM1-2-HR,CMCC-ESM2,ACCESS-ESM1-5,MIROC6,CanESM5,GFDL-CM4,HadGEM3-GC31-MM,CanESM5-CanOE,GFDL-ESM4,IPSL-CM6A-LR,INM-CM4-8,HadGEM3-GC31-LL,FGOALS-g3",0.35799583554267883,0.40468496084213257,0.8399713787349231
15,"UKESM1-1-LL,MIROC6,HadGEM3-GC31-MM,INM-CM4-8,CanESM5-CanOE,NorESM2-LM,HadGEM3-GC31-LL,GFDL-ESM4,MRI-ESM2-0,MPI-ESM1-2-HR,ACCESS-CM2,GISS-E2-1-G,CanESM5,CMCC-ESM2,FGOALS-g3",0.8667028678953648,-0.4412492513656616,0.38472418893184995
15,"NorESM2-LM,MPI-ESM1-2-HR,ACCESS-ESM1-5,GFDL-CM4,GISS-E2-1-G,UKESM1-1-LL,MIROC6,HadGEM3-GC31-LL,CMCC-ESM2,MRI-ESM2-0,GFDL-ESM4,HadGEM3-GC31-MM,IPSL-CM6A-LR,NorESM2-MM,CanESM5",0.3903630840778351,0.350861132144928,0.6094783252303878
15,"HadGEM3-GC31-LL,IPSL-CM6A-LR,GISS-E2-1-G,MPI-ESM1-2-HR,GFDL-ESM4,CanESM5,NorESM2-MM,ACCESS-CM2,INM-CM4-8,HadGEM3-GC31-MM,UKESM1-1-LL,NorESM2-LM,CMCC-ESM2,CanESM5-CanOE,GFDL-CM4",0.43409188985824587,0.27814406156539917,0.5954313357325457
15,"IPSL-CM6A-LR,INM-CM4-8,CanESM5-CanOE,CanESM5,ACCESS-CM2,NorESM2-MM,MIROC6,MPI-ESM1-2-HR,NorESM2-LM,HadGEM3-GC31-MM,FGOALS-g3,MRI-ESM2-0,UKESM1-1-LL,CMCC-ESM2,GFDL-ESM4",0.3758950525522232,0.37492018938064575,0.8184008516219676
19,"UKESM1-1-LL,GFDL-CM4,ACCESS-ESM1-5,MPI-ESM1-2-HR,CanESM5,NorESM2-LM,MRI-ESM2-0,NorESM2-MM,IPSL-CM6A-LR,CMCC-ESM2,GFDL-ESM4,CanESM5-CanOE,MIROC6,ACCESS-CM2,GISS-E2-1-G,HadGEM3-GC31-LL,INM-CM4-8,FGOALS-g3,HadGEM3-GC31-MM",0.351,0.46,0.80
